                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     76,                0.72168,                 0.9875,                 1.1043,                0.97179,                      1,                  0.995,                 0.7707,                0.99173,                 1.0786,                 1.3976,              0.0002674,              0.0002674,              0.0002674
                     77,                0.72086,                 1.0098,                 1.1284,                0.96717,                      1,                  0.995,                0.77826,                0.98422,                 1.0756,                  1.383,              0.0002575,              0.0002575,              0.0002575
                     78,                0.72155,                 1.0917,                 1.1364,                0.96051,                      1,                  0.995,                 0.7817,                0.97517,                 1.0677,                 1.3786,              0.0002476,              0.0002476,              0.0002476
                     79,                0.68975,                 1.0045,                 1.0969,                 0.9784,                      1,                  0.995,                0.75298,                 1.0213,                 1.0691,                 1.4193,              0.0002377,              0.0002377,              0.0002377
                     80,                0.67298,                0.95742,                 1.0704,                0.97693,                      1,                  0.995,                0.75083,                 1.0278,                 1.0841,                 1.4101,              0.0002278,              0.0002278,              0.0002278
                     81,                0.66759,                 0.9334,                 1.0648,                0.97772,                      1,                  0.995,                0.75309,                 1.0143,                 1.0906,                 1.3832,              0.0002179,              0.0002179,              0.0002179
                     82,                0.72509,                 1.0795,                 1.1139,                0.97679,                      1,                  0.995,                0.77282,                0.96922,                 1.1334,                 1.3286,               0.000208,               0.000208,               0.000208
                     83,                0.66928,                 1.0353,                 1.0418,                0.97932,                      1,                  0.995,                0.77621,                0.95936,                 1.1263,                 1.3076,              0.0001981,              0.0001981,              0.0001981
                     84,                0.70543,                0.91995,                 1.0861,                0.97856,                      1,                  0.995,                0.78105,                0.95053,                 1.1272,                 1.2904,              0.0001882,              0.0001882,              0.0001882
                     85,                 0.6627,                0.97461,                 1.0634,                0.97869,                      1,                  0.995,                0.75894,                0.94943,                 1.1158,                 1.2833,              0.0001783,              0.0001783,              0.0001783
                     86,                0.68162,                 1.0284,                 1.0628,                0.97729,                      1,                  0.995,                0.78183,                0.95171,                 1.0885,                 1.2837,              0.0001684,              0.0001684,              0.0001684
                     87,                0.62641,                0.94164,                 1.0576,                0.97771,                      1,                  0.995,                0.78025,                0.95506,                 1.0846,                 1.2926,              0.0001585,              0.0001585,              0.0001585
                     88,                0.67742,                0.97506,                  1.116,                0.97757,                      1,                  0.995,                0.77675,                0.95996,                 1.0808,                 1.3102,              0.0001486,              0.0001486,              0.0001486
                     89,                0.66467,                 0.9649,                 1.0897,                0.98188,                      1,                  0.995,                0.78456,                0.98223,                 1.0398,                 1.3513,              0.0001387,              0.0001387,              0.0001387
                     90,                0.62408,                0.87855,                 1.0321,                0.97964,                      1,                  0.995,                0.76809,                0.99258,                 1.0353,                 1.3712,              0.0001288,              0.0001288,              0.0001288
                     91,                0.53784,                0.95278,                 1.0032,                0.97753,                      1,                  0.995,                0.77213,                 0.9891,                 1.0467,                 1.3741,              0.0001189,              0.0001189,              0.0001189
                     92,                0.53374,                 1.0113,                 1.0364,                0.97062,                      1,                  0.995,                0.77407,                 0.9705,                 1.0707,                 1.3607,               0.000109,               0.000109,               0.000109
                     93,                0.52447,                0.94339,                0.98044,                0.97109,                      1,                  0.995,                0.77741,                0.96782,                 1.0766,                 1.3613,               9.91e-05,               9.91e-05,               9.91e-05
                     94,                0.48454,                0.97801,                0.97767,                0.97233,                      1,                  0.995,                0.77704,                0.96446,                 1.0859,                 1.3615,               8.92e-05,               8.92e-05,               8.92e-05
                     95,                0.50435,                0.96577,                0.97053,                0.97775,                      1,                  0.995,                0.77427,                0.96219,                 1.0834,                 1.3655,               7.93e-05,               7.93e-05,               7.93e-05
                     96,                0.52656,                  0.933,                0.98627,                0.97715,                      1,                  0.995,                0.77427,                0.96438,                 1.0697,                 1.3685,               6.94e-05,               6.94e-05,               6.94e-05
                     97,                0.51407,                0.96812,                0.96754,                0.97747,                      1,                  0.995,                0.77976,                0.96142,                 1.0671,                 1.3605,               5.95e-05,               5.95e-05,               5.95e-05
                     98,                0.50331,                 1.0045,                 0.9826,                0.97613,                      1,                  0.995,                0.78108,                0.95516,                 1.0619,                 1.3481,               4.96e-05,               4.96e-05,               4.96e-05
                     99,                0.50258,                 0.9428,                0.96859,                0.98026,                      1,                  0.995,                0.78108,                0.95637,                 1.0519,                  1.345,               3.97e-05,               3.97e-05,               3.97e-05
                    100,                0.48931,                0.96102,                0.98105,                0.98091,                      1,                  0.995,                  0.793,                0.95451,                 1.0469,                 1.3417,               2.98e-05,               2.98e-05,               2.98e-05
